country,2000
Afghanistan,20.1M
Angola,16.2M
Albania,3.17M
Andorra,65.7k
UAE,3.49M
Argentina,37.2M
Armenia,3.13M
Antigua and Barbuda,74.9k
Australia,19.1M
Austria,8.01M
Azerbaijan,8.17M
Burundi,6.47M
Belgium,10.3M
Benin,7.22M
Burkina Faso,11.9M
Bangladesh,135M
Bulgaria,8M
Bahrain,670k
Bahamas,324k
Bosnia and Herzegovina,4.16M
Belarus,9.99M
Belize,241k
Bolivia,8.61M
Brazil,174M
Barbados,262k
Brunei,326k
Bhutan,597k
Botswana,1.68M
Central African Republic,3.83M
Canada,30.9M
Switzerland,7.18M
Chile,15.5M
China,1.27B
Cote d'Ivoire,17.7M
Cameroon,14.9M
"Congo, Dem. Rep.",50.5M
"Congo, Rep.",3.15M
Colombia,39.1M
Comoros,536k
Cape Verde,453k
Costa Rica,3.94M
Cuba,11.1M
Cyprus,948k
Czech Republic,10.2M
Germany,81.8M
Djibouti,747k
Dominica,68.5k
Denmark,5.34M
Dominican Republic,8.58M
Algeria,30.9M
Ecuador,12.7M
Egypt,73.1M
Eritrea,2.25M
Spain,41M
Estonia,1.4M
Ethiopia,67.4M
Finland,5.18M
Fiji,841k
France,59.5M
"Micronesia, Fed. Sts.",112k
Gabon,1.28M
UK,59.1M
Georgia,4.33M
Ghana,19.6M
Guinea,8.43M
Gambia,1.46M
Guinea-Bissau,1.23M
Equatorial Guinea,703k
Greece,10.8M
Grenada,107k
Guatemala,11.7M
Guyana,765k
"Hong Kong, China",6.7M
Honduras,6.58M
Holy See,779
Croatia,4.33M
Haiti,8.3M
Hungary,10.2M
Indonesia,216M
India,1.06B
Ireland,3.8M
Iran,66.4M
Iraq,24.4M
Iceland,281k
Israel,6.11M
Italy,57.3M
Jamaica,2.61M
Jordan,5.39M
Japan,127M
Kazakhstan,15.5M
Kenya,30.6M
Kyrgyz Republic,5.03M
Cambodia,12.5M
Kiribati,88.6k
St. Kitts and Nevis,45.2k
South Korea,46.8M
Kuwait,1.95M
Lao,5.43M
Lebanon,4.33M
Liberia,2.93M
Libya,5.31M
St. Lucia,159k
Liechtenstein,33.1k
Sri Lanka,19.3M
Lesotho,2M
Lithuania,3.5M
Luxembourg,436k
Latvia,2.37M
Morocco,28.4M
Monaco,32.5k
Moldova,4.23M
Madagascar,16.5M
Maldives,282k
Mexico,98.6M
Marshall Islands,50.7k
North Macedonia,2.06M
Mali,11.6M
Malta,400k
Myanmar,45.3M
Montenegro,634k
Mongolia,2.46M
Mozambique,18.1M
Mauritania,2.61M
Mauritius,1.22M
Malawi,11.3M
Malaysia,23M
Namibia,1.82M
Niger,11.5M
Nigeria,126M
Nicaragua,5.02M
Netherlands,16.1M
Norway,4.49M
Nepal,24.5M
Nauru,10.2k
New Zealand,3.86M
Oman,2.28M
Pakistan,155M
Panama,3.01M
Peru,26.6M
Philippines,79.6M
Palau,19.2k
Papua New Guinea,5.54M
Poland,38.3M
North Korea,23.7M
Portugal,10.3M
Paraguay,5.1M
Palestine,3.15M
Qatar,645k
Romania,22M
Russia,147M
Rwanda,8.21M
Saudi Arabia,16.2M
Sudan,27.8M
Senegal,9.97M
Singapore,4.04M
Solomon Islands,440k
Sierra Leone,4.42M
El Salvador,5.94M
San Marino,26.8k
Somalia,8.84M
Serbia,7.69M
South Sudan,6.03M
Sao Tome and Principe,144k
Suriname,477k
Slovak Republic,5.38M
Slovenia,1.99M
Sweden,8.87M
Eswatini,1.04M
Seychelles,83.3k
Syria,16.6M
Chad,8.51M
Togo,5.14M
Thailand,63M
Tajikistan,6.28M
Turkmenistan,4.58M
Timor-Leste,745k
Tonga,103k
Trinidad and Tobago,1.32M
Tunisia,9.76M
Turkey,65.4M
Tuvalu,9540
Taiwan,22.3M
Tanzania,34.3M
Uganda,24M
Ukraine,49.6M
Uruguay,3.27M
USA,281M
Uzbekistan,24.8M
St. Vincent and the Grenadines,114k
Venezuela,24.5M
Vietnam,77.2M
Vanuatu,186k
Samoa,182k
Yemen,19.6M
South Africa,47.2M
Zambia,10M
Zimbabwe,11.9M
