country,2016
Afghanistan,34.7M
Angola,29.2M
Albania,2.9M
Andorra,72.2k
UAE,9.03M
Argentina,43.9M
Armenia,2.92M
Antigua and Barbuda,90k
Australia,24.3M
Austria,8.74M
Azerbaijan,9.87M
Burundi,11.2M
Belgium,11.3M
Benin,11.7M
Burkina Faso,19.3M
Bangladesh,161M
Bulgaria,7.13M
Bahrain,1.43M
Bahamas,388k
Bosnia and Herzegovina,3.47M
Belarus,9.5M
Belize,365k
Bolivia,11.2M
Brazil,203M
Barbados,280k
Brunei,428k
Bhutan,748k
Botswana,2.23M
Central African Republic,4.71M
Canada,36.4M
Switzerland,8.37M
Chile,18.3M
China,1.4B
Cote d'Ivoire,26M
Cameroon,23.5M
"Congo, Dem. Rep.",84M
"Congo, Rep.",5.22M
Colombia,47.4M
Comoros,742k
Cape Verde,513k
Costa Rica,4.87M
Cuba,11.3M
Cyprus,1.24M
Czech Republic,10.5M
Germany,82.8M
Djibouti,1.04M
Dominica,69.6k
Denmark,5.73M
Dominican Republic,10.6M
Algeria,40.9M
Ecuador,16.5M
Egypt,102M
Eritrea,3.12M
Spain,46.7M
Estonia,1.32M
Ethiopia,107M
Finland,5.5M
Fiji,919k
France,65.1M
"Micronesia, Fed. Sts.",109k
Gabon,2.1M
UK,65.9M
Georgia,3.79M
Ghana,29.4M
Guinea,12.1M
Gambia,2.28M
Guinea-Bissau,1.83M
Equatorial Guinea,1.51M
Greece,10.8M
Grenada,115k
Guatemala,16.3M
Guyana,764k
"Hong Kong, China",7.41M
Honduras,9.41M
Holy See,9.41M
Croatia,4.14M
Haiti,10.7M
Hungary,9.81M
Indonesia,265M
India,1.34B
Ireland,4.75M
Iran,83.8M
Iraq,38.5M
Iceland,336k
Israel,8.21M
Italy,60.5M
Jamaica,2.81M
Jordan,10M
Japan,127M
Kazakhstan,18.4M
Kenya,48.1M
Kyrgyz Republic,6.11M
Cambodia,15.9M
Kiribati,118k
St. Kitts and Nevis,47.1k
South Korea,51.3M
Kuwait,4M
Lao,6.91M
Lebanon,6.32M
Liberia,4.76M
Libya,6.63M
St. Lucia,176k
Liechtenstein,37.6k
Sri Lanka,21.9M
Lesotho,2.13M
Lithuania,2.87M
Luxembourg,584k
Latvia,1.96M
Morocco,35M
Monaco,37.3k
Moldova,3.24M
Madagascar,26.1M
Maldives,443k
Mexico,122M
Marshall Islands,47.7k
North Macedonia,1.96M
Mali,19.2M
Malta,455k
Myanmar,51.5M
Montenegro,624k
Mongolia,3.04M
Mozambique,27.3M
Mauritania,4.09M
Mauritius,1.29M
Malawi,17.6M
Malaysia,31.8M
Namibia,2.44M
Niger,20.7M
Nigeria,195M
Nicaragua,6.23M
Netherlands,17.2M
Norway,5.24M
Nepal,28M
Nauru,11.2k
New Zealand,4.71M
Oman,4.39M
Pakistan,220M
Panama,4.03M
Peru,30.9M
Philippines,107M
Palau,17.8k
Papua New Guinea,8.96M
Poland,38.3M
North Korea,25.7M
Portugal,10.3M
Paraguay,6.25M
Palestine,4.63M
Qatar,2.6M
Romania,19.8M
Russia,146M
Rwanda,11.9M
Saudi Arabia,30.7M
Sudan,41.3M
Senegal,15M
Singapore,5.58M
Solomon Islands,662k
Sierra Leone,7.21M
El Salvador,6.2M
San Marino,34.2k
Somalia,14.3M
Serbia,7.13M
South Sudan,10.8M
Sao Tome and Principe,204k
Suriname,588k
Slovak Republic,5.43M
Slovenia,2.06M
Sweden,9.92M
Eswatini,1.15M
Seychelles,110k
Syria,19.2M
Chad,15.1M
Togo,7.86M
Thailand,70.9M
Tajikistan,8.87M
Turkmenistan,6.36M
Timor-Leste,1.23M
Tonga,106k
Trinidad and Tobago,1.44M
Tunisia,11.5M
Turkey,81.7M
Tuvalu,10.9k
Taiwan,23.6M
Tanzania,53.8M
Uganda,38.8M
Ukraine,45.6M
Uruguay,3.38M
USA,329M
Uzbekistan,31.3M
St. Vincent and the Grenadines,106k
Venezuela,30.8M
Vietnam,94M
Vanuatu,272k
Samoa,203k
Yemen,32.1M
South Africa,57.3M
Zambia,16.9M
Zimbabwe,14.6M
