country,1980
Afghanistan,13.2M
Angola,8.13M
Albania,2.74M
Andorra,35.8k
UAE,1.02M
Argentina,28M
Armenia,3.11M
Antigua and Barbuda,64.5k
Australia,14.7M
Austria,7.55M
Azerbaijan,6.28M
Burundi,4.38M
Belgium,9.83M
Benin,3.93M
Burkina Faso,6.95M
Bangladesh,88M
Bulgaria,8.86M
Bahrain,359k
Bahamas,233k
Bosnia and Herzegovina,4.15M
Belarus,9.6M
Belize,145k
Bolivia,5.76M
Brazil,121M
Barbados,252k
Brunei,186k
Bhutan,433k
Botswana,937k
Central African Republic,2.45M
Canada,24.5M
Switzerland,6.32M
Chile,11.5M
China,983M
Cote d'Ivoire,8.22M
Cameroon,8.51M
"Congo, Dem. Rep.",26.7M
"Congo, Rep.",1.83M
Colombia,26.1M
Comoros,338k
Cape Verde,323k
Costa Rica,2.39M
Cuba,9.8M
Cyprus,683k
Czech Republic,10.3M
Germany,78.3M
Djibouti,326k
Dominica,73.1k
Denmark,5.12M
Dominican Republic,5.73M
Algeria,18.6M
Ecuador,8.17M
Egypt,44M
Eritrea,1.61M
Spain,37.5M
Estonia,1.48M
Ethiopia,34.4M
Finland,4.78M
Fiji,642k
France,53.9M
"Micronesia, Fed. Sts.",77.4k
Gabon,748k
UK,56.3M
Georgia,5.17M
Ghana,11.9M
Guinea,5.05M
Gambia,714k
Guinea-Bissau,829k
Equatorial Guinea,289k
Greece,9.65M
Grenada,94.5k
Guatemala,6.9M
Guyana,774k
"Hong Kong, China",4.96M
Honduras,3.73M
Holy See,727
Croatia,4.64M
Haiti,5.61M
Hungary,10.7M
Indonesia,149M
India,687M
Ireland,3.42M
Iran,39.8M
Iraq,13.6M
Iceland,228k
Israel,3.72M
Italy,56.4M
Jamaica,2.15M
Jordan,2.23M
Japan,118M
Kazakhstan,15.2M
Kenya,16M
Kyrgyz Republic,3.73M
Cambodia,5.2M
Kiribati,61.1k
St. Kitts and Nevis,42.9k
South Korea,38.1M
Kuwait,1.5M
Lao,3.29M
Lebanon,2.94M
Liberia,1.93M
Libya,3.42M
St. Lucia,119k
Liechtenstein,25.1k
Sri Lanka,14.8M
Lesotho,1.41M
Lithuania,3.43M
Luxembourg,364k
Latvia,2.51M
Morocco,19.5M
Monaco,27.1k
Moldova,4.05M
Madagascar,9.01M
Maldives,165k
Mexico,67.3M
Marshall Islands,30.8k
North Macedonia,1.93M
Mali,7.53M
Malta,343k
Myanmar,33.2M
Montenegro,585k
Mongolia,1.7M
Mozambique,11.3M
Mauritania,1.47M
Mauritius,954k
Malawi,6.27M
Malaysia,13M
Namibia,981k
Niger,6.14M
Nigeria,73.8M
Nicaragua,3.25M
Netherlands,14.2M
Norway,4.09M
Nepal,15.6M
Nauru,7650
New Zealand,3.15M
Oman,1M
Pakistan,82.3M
Panama,1.96M
Peru,17.4M
Philippines,48M
Palau,12.3k
Papua New Guinea,3.13M
Poland,35.6M
North Korea,18.2M
Portugal,9.76M
Paraguay,3.05M
Palestine,1.47M
Qatar,276k
Romania,22.2M
Russia,139M
Rwanda,5.35M
Saudi Arabia,6.05M
Sudan,17.1M
Senegal,5.85M
Singapore,2.44M
Solomon Islands,238k
Sierra Leone,3.27M
El Salvador,4.54M
San Marino,21.6k
Somalia,5.94M
Serbia,7.8M
South Sudan,4.34M
Sao Tome and Principe,98.5k
Suriname,375k
Slovak Republic,4.98M
Slovenia,1.9M
Sweden,8.31M
Eswatini,597k
Seychelles,66.3k
Syria,8.96M
Chad,4.52M
Togo,2.92M
Thailand,45.7M
Tajikistan,4M
Turkmenistan,2.83M
Timor-Leste,650k
Tonga,97.8k
Trinidad and Tobago,1.12M
Tunisia,6.61M
Turkey,45.4M
Tuvalu,7370
Taiwan,18.1M
Tanzania,19.2M
Uganda,13.3M
Ukraine,50M
Uruguay,2.95M
USA,230M
Uzbekistan,15.6M
St. Vincent and the Grenadines,104k
Venezuela,15.3M
Vietnam,52.5M
Vanuatu,116k
Samoa,164k
Yemen,9.54M
South Africa,29.5M
Zambia,5.8M
Zimbabwe,7.04M
