country,1960
Afghanistan,9.04M
Angola,5.23M
Albania,1.65M
Andorra,9510
UAE,131k
Argentina,20.4M
Armenia,1.86M
Antigua and Barbuda,55.6k
Australia,10.3M
Austria,7.05M
Azerbaijan,3.98M
Burundi,2.76M
Belgium,9.1M
Benin,2.52M
Burkina Faso,4.78M
Bangladesh,51.8M
Bulgaria,7.86M
Bahrain,165k
Bahamas,116k
Bosnia and Herzegovina,3.28M
Belarus,8.21M
Belize,91.3k
Bolivia,3.7M
Brazil,72.4M
Barbados,231k
Brunei,88.3k
Bhutan,224k
Botswana,516k
Central African Republic,1.7M
Canada,17.9M
Switzerland,5.33M
Chile,8.15M
China,655M
Cote d'Ivoire,3.67M
Cameroon,5.16M
"Congo, Dem. Rep.",15.3M
"Congo, Rep.",1.06M
Colombia,15.6M
Comoros,198k
Cape Verde,210k
Costa Rica,1.33M
Cuba,7.24M
Cyprus,586k
Czech Republic,9.54M
Germany,72.8M
Djibouti,86k
Dominica,59.4k
Denmark,4.58M
Dominican Republic,3.27M
Algeria,11.4M
Ecuador,4.59M
Egypt,26.9M
Eritrea,973k
Spain,30.4M
Estonia,1.22M
Ethiopia,21.4M
Finland,4.43M
Fiji,405k
France,46.4M
"Micronesia, Fed. Sts.",43.1k
Gabon,512k
UK,52.5M
Georgia,4.05M
Ghana,6.96M
Guinea,3.56M
Gambia,398k
Guinea-Bissau,578k
Equatorial Guinea,270k
Greece,8.38M
Grenada,94.1k
Guatemala,4.06M
Guyana,569k
"Hong Kong, China",3.09M
Honduras,2.06M
Holy See,906
Croatia,4.2M
Haiti,3.86M
Hungary,9.98M
Indonesia,88.3M
India,436M
Ireland,2.83M
Iran,21.5M
Iraq,7.02M
Iceland,176k
Israel,1.89M
Italy,49.5M
Jamaica,1.65M
Jordan,853k
Japan,96.4M
Kazakhstan,9.43M
Kenya,7.7M
Kyrgyz Republic,2.22M
Cambodia,5.45M
Kiribati,47.2k
St. Kitts and Nevis,55.8k
South Korea,26.1M
Kuwait,311k
Lao,2.12M
Lebanon,1.79M
Liberia,1.14M
Libya,1.49M
St. Lucia,92.6k
Liechtenstein,16.5k
Sri Lanka,9.66M
Lesotho,737k
Lithuania,2.77M
Luxembourg,314k
Latvia,2.13M
Morocco,11.6M
Monaco,21.8k
Moldova,3.08M
Madagascar,5.11M
Maldives,91.2k
Mexico,36.7M
Marshall Islands,14.7k
North Macedonia,1.44M
Mali,5.4M
Malta,331k
Myanmar,21.7M
Montenegro,471k
Mongolia,978k
Mozambique,6.71M
Mauritania,824k
Mauritius,680k
Malawi,3.63M
Malaysia,7.96M
Namibia,591k
Niger,3.51M
Nigeria,45.1M
Nicaragua,1.78M
Netherlands,11.5M
Norway,3.58M
Nepal,10.1M
Nauru,4610
New Zealand,2.38M
Oman,530k
Pakistan,45.7M
Panama,1.13M
Peru,10.2M
Philippines,27.9M
Palau,9330
Papua New Guinea,2M
Poland,29.6M
North Korea,11.7M
Portugal,8.87M
Paraguay,1.88M
Palestine,1.07M
Qatar,36k
Romania,18.3M
Russia,120M
Rwanda,3.02M
Saudi Arabia,2.44M
Sudan,8.36M
Senegal,3.34M
Singapore,1.62M
Solomon Islands,140k
Sierra Leone,2.27M
El Salvador,2.79M
San Marino,15.4k
Somalia,2.88M
Serbia,6.7M
South Sudan,2.93M
Sao Tome and Principe,68k
Suriname,264k
Slovak Republic,4.12M
Slovenia,1.61M
Sweden,7.48M
Eswatini,345k
Seychelles,43.2k
Syria,4.67M
Chad,3.05M
Togo,1.67M
Thailand,26.9M
Tajikistan,2.11M
Turkmenistan,1.64M
Timor-Leste,468k
Tonga,66.2k
Trinidad and Tobago,845k
Tunisia,4.27M
Turkey,28.3M
Tuvalu,5600
Taiwan,11M
Tanzania,9.9M
Uganda,7.64M
Ukraine,42.8M
Uruguay,2.53M
USA,180M
Uzbekistan,8.21M
St. Vincent and the Grenadines,84.4k
Venezuela,8.16M
Vietnam,32.5M
Vanuatu,64.4k
Samoa,112k
Yemen,5.53M
South Africa,16.4M
Zambia,3.15M
Zimbabwe,3.81M
