country,1984
Afghanistan,7.55
Angola,7.46
Albania,3.28
Andorra,1.48
UAE,5.3
Argentina,3.12
Armenia,2.6
Antigua and Barbuda,2.04
Australia,1.87
Austria,1.53
Azerbaijan,3.26
Burundi,7.3
Belgium,1.53
Benin,7.03
Burkina Faso,7.25
Bangladesh,5.73
Bulgaria,2.0
Bahrain,4.3
Bahamas,2.59
Bosnia and Herzegovina,2.02
Belarus,2.08
Belize,5.12
Bolivia,5.24
Brazil,3.6
Barbados,1.75
Brunei,3.68
Bhutan,6.26
Botswana,5.63
Central African Republic,6.14
Canada,1.61
Switzerland,1.52
Chile,2.6
China,2.61
Cote d'Ivoire,7.35
Cameroon,6.56
"Congo, Dem. Rep.",6.59
"Congo, Rep.",5.66
Colombia,3.35
Comoros,7.07
Cape Verde,5.97
Costa Rica,3.52
Cuba,1.77
Cyprus,2.51
Czech Republic,1.97
Germany,1.39
Djibouti,6.25
Dominica,3.15
Denmark,1.4
Dominican Republic,3.82
Algeria,6.28
Ecuador,4.31
Egypt,5.21
Eritrea,6.62
Spain,1.72
Estonia,2.18
Ethiopia,7.36
Finland,1.69
Fiji,3.8
France,1.81
"Micronesia, Fed. Sts.",5.89
Gabon,5.73
UK,1.77
Georgia,2.38
Ghana,6.15
Guinea,6.51
Gambia,6.39
Guinea-Bissau,6.73
Equatorial Guinea,5.93
Greece,1.87
Grenada,3.22
Guatemala,5.86
Guyana,3.54
"Hong Kong, China",1.59
Honduras,5.94
Holy See,1.0
Croatia,1.88
Haiti,5.51
Hungary,1.76
Indonesia,3.96
India,4.52
Ireland,2.59
Iran,6.43
Iraq,6.32
Iceland,2.08
Israel,3.08
Italy,1.46
Jamaica,3.32
Jordan,6.67
Japan,1.78
Kazakhstan,3.15
Kenya,7.08
Kyrgyz Republic,4.2
Cambodia,6.34
Kiribati,4.91
St. Kitts and Nevis,2.88
South Korea,1.83
Kuwait,4.45
Lao,6.37
Lebanon,3.66
Liberia,6.73
Libya,6.62
St. Lucia,4.02
Liechtenstein,1.51
Sri Lanka,3.01
Lesotho,5.48
Lithuania,2.09
Luxembourg,1.42
Latvia,2.11
Morocco,5.2
Monaco,2.17
Moldova,2.67
Madagascar,6.55
Maldives,7.03
Mexico,4.18
Marshall Islands,6.99
North Macedonia,2.24
Mali,7.26
Malta,1.96
Myanmar,4.52
Montenegro,2.14
Mongolia,5.45
Mozambique,6.44
Mauritania,6.48
Mauritius,2.23
Malawi,7.27
Malaysia,3.89
Namibia,5.94
Niger,7.92
Nigeria,6.7
Nicaragua,5.49
Netherlands,1.49
Norway,1.66
Nepal,5.51
Nauru,4.11
New Zealand,1.93
Oman,7.64
Pakistan,6.62
Panama,3.52
Peru,4.57
Philippines,4.77
Palau,3.08
Papua New Guinea,5.51
Poland,2.38
North Korea,2.71
Portugal,1.9
Paraguay,5.04
Palestine,7.0
Qatar,4.76
Romania,2.25
Russia,2.1
Rwanda,7.91
Saudi Arabia,6.78
Sudan,6.34
Senegal,7.11
Singapore,1.54
Solomon Islands,6.49
Sierra Leone,6.59
El Salvador,4.48
San Marino,1.2
Somalia,7.3
Serbia,1.81
South Sudan,7.35
Sao Tome and Principe,6.16
Suriname,3.8
Slovak Republic,2.26
Slovenia,1.75
Sweden,1.66
Eswatini,6.36
Seychelles,3.24
Syria,6.59
Chad,7.02
Togo,6.54
Thailand,2.58
Tajikistan,5.96
Turkmenistan,4.96
Timor-Leste,5.61
Tonga,5.41
Trinidad and Tobago,3.02
Tunisia,4.66
Turkey,3.91
Tuvalu,3.95
Taiwan,2.05
Tanzania,6.72
Uganda,7.02
Ukraine,2.08
Uruguay,2.47
USA,1.83
Uzbekistan,4.73
St. Vincent and the Grenadines,3.28
Venezuela,3.86
Vietnam,4.41
Vanuatu,5.49
Samoa,5.55
Yemen,8.85
South Africa,4.57
Zambia,6.97
Zimbabwe,6.04
