country,2004
Afghanistan,7.02
Angola,6.5
Albania,1.89
Andorra,1.23
UAE,2.39
Argentina,2.43
Armenia,1.49
Antigua and Barbuda,1.85
Australia,1.78
Austria,1.42
Azerbaijan,1.97
Burundi,6.75
Belgium,1.72
Benin,5.72
Burkina Faso,6.22
Bangladesh,2.94
Bulgaria,1.32
Bahrain,2.77
Bahamas,1.98
Bosnia and Herzegovina,1.22
Belarus,1.2
Belize,3.25
Bolivia,3.63
Brazil,1.97
Barbados,1.8
Brunei,2.1
Bhutan,2.78
Botswana,3.06
Central African Republic,5.78
Canada,1.55
Switzerland,1.41
Chile,1.84
China,1.61
Cote d'Ivoire,5.53
Cameroon,5.44
"Congo, Dem. Rep.",6.53
"Congo, Rep.",4.69
Colombia,2.38
Comoros,5.07
Cape Verde,2.9
Costa Rica,2.03
Cuba,1.55
Cyprus,1.51
Czech Republic,1.23
Germany,1.36
Djibouti,4.16
Dominica,2.02
Denmark,1.78
Dominican Republic,2.64
Algeria,2.5
Ecuador,2.85
Egypt,3.28
Eritrea,5.04
Spain,1.31
Estonia,1.47
Ethiopia,6.3
Finland,1.8
Fiji,2.94
France,1.9
"Micronesia, Fed. Sts.",3.68
Gabon,4.25
UK,1.75
Georgia,1.57
Ghana,4.5
Guinea,5.73
Gambia,5.68
Guinea-Bissau,5.5
Equatorial Guinea,5.62
Greece,1.34
Grenada,2.29
Guatemala,4.13
Guyana,2.68
"Hong Kong, China",0.92
Honduras,3.71
Holy See,1.0
Croatia,1.42
Haiti,3.94
Hungary,1.28
Indonesia,2.42
India,3.05
Ireland,1.93
Iran,1.78
Iraq,4.53
Iceland,2.04
Israel,2.85
Italy,1.34
Jamaica,2.2
Jordan,3.73
Japan,1.28
Kazakhstan,2.2
Kenya,4.86
Kyrgyz Republic,2.63
Cambodia,3.31
Kiribati,3.73
St. Kitts and Nevis,1.96
South Korea,1.16
Kuwait,2.76
Lao,3.9
Lebanon,2.38
Liberia,5.51
Libya,2.77
St. Lucia,1.86
Liechtenstein,1.44
Sri Lanka,2.27
Lesotho,3.51
Lithuania,1.27
Luxembourg,1.66
Latvia,1.3
Morocco,2.61
Monaco,1.99
Moldova,1.54
Madagascar,5.26
Maldives,2.26
Mexico,2.54
Marshall Islands,4.34
North Macedonia,1.52
Mali,6.74
Malta,1.4
Myanmar,2.59
Montenegro,1.73
Mongolia,1.98
Mozambique,5.55
Mauritania,5.37
Mauritius,1.87
Malawi,5.86
Malaysia,2.49
Namibia,3.55
Niger,7.78
Nigeria,6.09
Nicaragua,2.78
Netherlands,1.72
Norway,1.83
Nepal,3.28
Nauru,3.38
New Zealand,1.98
Oman,3.2
Pakistan,4.69
Panama,2.68
Peru,2.67
Philippines,3.52
Palau,1.99
Papua New Guinea,4.28
Poland,1.23
North Korea,1.9
Portugal,1.41
Paraguay,3.05
Palestine,4.97
Qatar,2.79
Romania,1.34
Russia,1.35
Rwanda,5.64
Saudi Arabia,3.26
Sudan,5.46
Senegal,5.19
Singapore,1.07
Solomon Islands,4.47
Sierra Leone,5.92
El Salvador,2.52
San Marino,1.3
Somalia,7.57
Serbia,1.36
South Sudan,6.19
Sao Tome and Principe,4.96
Suriname,2.74
Slovak Republic,1.25
Slovenia,1.25
Sweden,1.75
Eswatini,3.76
Seychelles,2.04
Syria,3.68
Chad,7.16
Togo,5.0
Thailand,1.67
Tajikistan,3.51
Turkmenistan,2.67
Timor-Leste,5.74
Tonga,4.19
Trinidad and Tobago,1.63
Tunisia,1.95
Turkey,2.2
Tuvalu,3.55
Taiwan,1.19
Tanzania,5.6
Uganda,6.61
Ukraine,1.22
Uruguay,2.09
USA,2.03
Uzbekistan,2.5
St. Vincent and the Grenadines,2.09
Venezuela,2.64
Vietnam,1.97
Vanuatu,4.21
Samoa,4.34
Yemen,5.71
South Africa,2.44
Zambia,5.7
Zimbabwe,3.78
