country,1992
Afghanistan,7.7
Angola,7.14
Albania,2.89
Andorra,1.37
UAE,4.09
Argentina,2.99
Armenia,2.5
Antigua and Barbuda,2.13
Australia,1.89
Austria,1.52
Azerbaijan,2.86
Burundi,7.3
Belgium,1.65
Benin,6.59
Burkina Faso,6.94
Bangladesh,4.03
Bulgaria,1.54
Bahrain,3.55
Bahamas,2.71
Bosnia and Herzegovina,1.76
Belarus,1.7
Belize,4.43
Bolivia,4.71
Brazil,2.71
Barbados,1.8
Brunei,3.11
Bhutan,5.27
Botswana,4.26
Central African Republic,5.96
Canada,1.72
Switzerland,1.57
Chile,2.48
China,1.78
Cote d'Ivoire,6.43
Cameroon,6.26
"Congo, Dem. Rep.",6.64
"Congo, Rep.",5.18
Colombia,2.98
Comoros,6.19
Cape Verde,5.12
Costa Rica,3.0
Cuba,1.56
Cyprus,2.46
Czech Republic,1.71
Germany,1.31
Djibouti,5.75
Dominica,3.18
Denmark,1.76
Dominican Republic,3.29
Algeria,4.27
Ecuador,3.58
Egypt,4.15
Eritrea,6.16
Spain,1.31
Estonia,1.7
Ethiopia,7.13
Finland,1.84
Fiji,3.33
France,1.74
"Micronesia, Fed. Sts.",4.8
Gabon,5.29
UK,1.79
Georgia,2.05
Ghana,5.52
Guinea,6.45
Gambia,6.11
Guinea-Bissau,6.44
Equatorial Guinea,5.98
Greece,1.45
Grenada,2.97
Guatemala,5.31
Guyana,3.19
"Hong Kong, China",1.36
Honduras,5.11
Holy See,1.0
Croatia,1.46
Haiti,5.21
Hungary,1.77
Indonesia,2.95
India,3.88
Ireland,1.99
Iran,4.1
Iraq,5.72
Iceland,2.21
Israel,2.87
Italy,1.3
Jamaica,3.03
Jordan,5.14
Japan,1.48
Kazakhstan,2.58
Kenya,5.74
Kyrgyz Republic,3.64
Cambodia,5.49
Kiribati,4.57
St. Kitts and Nevis,2.43
South Korea,1.74
Kuwait,3.35
Lao,5.9
Lebanon,3.05
Liberia,6.28
Libya,4.16
St. Lucia,3.11
Liechtenstein,1.48
Sri Lanka,2.49
Lesotho,4.54
Lithuania,1.97
Luxembourg,1.65
Latvia,1.72
Morocco,3.76
Monaco,1.76
Moldova,2.22
Madagascar,6.08
Maldives,5.44
Mexico,3.29
Marshall Islands,5.55
North Macedonia,2.28
Mali,7.24
Malta,2.06
Myanmar,3.35
Montenegro,2.01
Mongolia,3.43
Mozambique,6.22
Mauritania,6.13
Mauritius,2.36
Malawi,6.63
Malaysia,3.37
Namibia,5.11
Niger,7.8
Nigeria,6.39
Nicaragua,4.27
Netherlands,1.59
Norway,1.89
Nepal,5.07
Nauru,3.95
New Zealand,2.06
Oman,5.92
Pakistan,6.21
Panama,2.95
Peru,3.67
Philippines,4.16
Palau,2.71
Papua New Guinea,5.03
Poland,1.96
North Korea,2.29
Portugal,1.54
Paraguay,4.4
Palestine,6.65
Qatar,3.85
Romania,1.51
Russia,1.57
Rwanda,6.54
Saudi Arabia,5.49
Sudan,6.02
Senegal,6.15
Singapore,1.49
Solomon Islands,5.51
Sierra Leone,6.56
El Salvador,3.8
San Marino,1.15
Somalia,7.5
Serbia,1.57
South Sudan,7.37
Sao Tome and Principe,5.7
Suriname,3.01
Slovak Republic,1.93
Slovenia,1.33
Sweden,2.08
Eswatini,4.98
Seychelles,2.53
Syria,5.14
Chad,7.3
Togo,5.89
Thailand,2.01
Tajikistan,5.06
Turkmenistan,3.96
Timor-Leste,5.87
Tonga,4.79
Trinidad and Tobago,2.21
Tunisia,3.19
Turkey,2.94
Tuvalu,3.86
Taiwan,1.74
Tanzania,6.08
Uganda,6.91
Ukraine,1.67
Uruguay,2.43
USA,2.04
Uzbekistan,4.06
St. Vincent and the Grenadines,2.76
Venezuela,3.29
Vietnam,3.35
Vanuatu,5.09
Samoa,4.87
Yemen,8.27
South Africa,3.48
Zambia,6.35
Zimbabwe,4.57
