country,1996
Afghanistan,146.0
Angola,221.0
Albania,31.7
Andorra,7.69
UAE,12.7
Argentina,23.1
Armenia,37.3
Antigua and Barbuda,19.7
Australia,6.77
Austria,6.36
Azerbaijan,92.2
Burundi,175.0
Belgium,7.14
Benin,152.0
Burkina Faso,193.0
Bangladesh,108.0
Bulgaria,19.4
Bahrain,16.6
Bahamas,17.7
Bosnia and Herzegovina,12.2
Belarus,15.5
Belize,27.6
Bolivia,93.6
Brazil,45.0
Barbados,15.0
Brunei,12.0
Bhutan,96.1
Botswana,74.5
Central African Republic,176.0
Canada,6.71
Switzerland,6.14
Chile,12.5
China,45.5
Cote d'Ivoire,154.0
Cameroon,152.0
"Congo, Dem. Rep.",174.0
"Congo, Rep.",108.0
Colombia,28.7
Comoros,106.0
Cape Verde,53.7
Costa Rica,14.7
Cuba,10.1
Cyprus,8.51
Czech Republic,7.69
Germany,6.17
Djibouti,109.0
Dominica,15.6
Denmark,6.23
Dominican Republic,47.0
Algeria,42.5
Ecuador,37.8
Egypt,60.6
Eritrea,107.0
Spain,6.5
Estonia,14.7
Ethiopia,166.0
Finland,4.92
Fiji,24.4
France,6.12
"Micronesia, Fed. Sts.",55.6
Gabon,88.7
UK,7.02
Georgia,44.1
Ghana,112.0
Guinea,195.0
Gambia,134.0
Guinea-Bissau,195.0
Equatorial Guinea,171.0
Greece,8.12
Grenada,17.4
Guatemala,61.1
Guyana,51.5
"Hong Kong, China",5.21
Honduras,44.3
Holy See,44.5
Croatia,9.6
Haiti,119.0
Hungary,11.9
Indonesia,63.2
India,106.0
Ireland,7.29
Iran,42.2
Iraq,48.0
Iceland,4.96
Israel,8.18
Italy,7.02
Jamaica,25.2
Jordan,30.1
Japan,5.45
Kazakhstan,51.7
Kenya,118.0
Kyrgyz Republic,60.4
Cambodia,120.0
Kiribati,79.7
St. Kitts and Nevis,27.4
South Korea,9.64
Kuwait,13.9
Lao,124.0
Lebanon,24.5
Liberia,235.0
Libya,31.9
St. Lucia,19.3
Liechtenstein,14.2
Sri Lanka,19.3
Lesotho,104.0
Lithuania,13.5
Luxembourg,5.97
Latvia,19.0
Morocco,59.6
Monaco,5.99
Moldova,38.6
Madagascar,131.0
Maldives,57.7
Mexico,32.9
Marshall Islands,41.0
North Macedonia,21.1
Mali,208.0
Malta,8.98
Myanmar,99.1
Montenegro,15.1
Mongolia,82.6
Mozambique,210.0
Mauritania,114.0
Mauritius,22.7
Malawi,199.0
Malaysia,12.9
Namibia,72.1
Niger,266.0
Nigeria,203.0
Nicaragua,47.5
Netherlands,6.71
Norway,5.44
Nepal,101.0
Nauru,47.6
New Zealand,8.4
Oman,22.2
Pakistan,123.0
Panama,27.6
Peru,53.9
Philippines,42.1
Palau,31.6
Papua New Guinea,78.1
Poland,13.2
North Korea,75.7
Portugal,9.15
Paraguay,37.2
Palestine,34.5
Qatar,14.6
Romania,26.6
Russia,21.6
Rwanda,186.0
Saudi Arabia,28.6
Sudan,117.0
Senegal,141.0
Singapore,4.8
Solomon Islands,32.8
Sierra Leone,252.0
El Salvador,42.0
San Marino,8.22
Somalia,172.0
Serbia,17.4
South Sudan,217.0
Sao Tome and Principe,101.0
Suriname,39.6
Slovak Republic,11.5
Slovenia,6.98
Sweden,4.54
Eswatini,101.0
Seychelles,14.1
Syria,28.3
Chad,197.0
Togo,132.0
Thailand,26.8
Tajikistan,108.0
Turkmenistan,85.9
Timor-Leste,132.0
Tonga,18.7
Trinidad and Tobago,28.8
Tunisia,40.1
Turkey,50.9
Tuvalu,46.9
Taiwan,9.27
Tanzania,153.0
Uganda,165.0
Ukraine,20.4
Uruguay,19.9
USA,9.18
Uzbekistan,69.7
St. Vincent and the Grenadines,22.4
Venezuela,25.5
Vietnam,36.9
Vanuatu,30.0
Samoa,24.4
Yemen,109.0
South Africa,62.7
Zambia,178.0
Zimbabwe,104.0
